filename,speech_name,noise_name,realization,SNR,technique,llr,snrg
F200503_SNOW1_10,F200503,SNOW,1,10.0,noisy,,-0.003260970115661621
F200503_SNOW1_20,F200503,SNOW,1,20.0,noisy,,-0.010141134262084961
F200503_SNOW1_inf,F200503,SNOW,1,inf,noisy,,
F200503_SNOW2_-20,F200503,SNOW,2,-20.0,noisy,,-8.821487426757812e-05
F200503_SNOW2_-10,F200503,SNOW,2,-10.0,noisy,,-0.00027298927307128906
F200503_SNOW2_-5,F200503,SNOW,2,-5.0,noisy,,-0.0004869699478149414
F200503_SNOW2_0,F200503,SNOW,2,0.0,noisy,,-0.0009112816769629717
F200503_SNOW2_5,F200503,SNOW,2,5.0,noisy,,-0.0014725327491760254
F200503_SNOW2_10,F200503,SNOW,2,10.0,noisy,,-0.002840757369995117
F200503_SNOW2_20,F200503,SNOW,2,20.0,noisy,,-0.009874105453491211
F200503_SNOW2_inf,F200503,SNOW,2,inf,noisy,,
F200503_SNOW3_-20,F200503,SNOW,3,-20.0,noisy,,-8.106231689453125e-05
F200503_SNOW3_-10,F200503,SNOW,3,-10.0,noisy,,-0.0002658367156982422
F200503_SNOW3_-5,F200503,SNOW,3,-5.0,noisy,,-0.00042557716369628906
F200503_SNOW3_0,F200503,SNOW,3,0.0,noisy,,-0.0007844156789360568
F200503_SNOW3_5,F200503,SNOW,3,5.0,noisy,,-0.001468658447265625
F200503_SNOW3_10,F200503,SNOW,3,10.0,noisy,,-0.002555251121520996
F200503_SNOW3_20,F200503,SNOW,3,20.0,noisy,,-0.008994340896606445
F200503_SNOW3_inf,F200503,SNOW,3,inf,noisy,,
F200503_SNOW4_-20,F200503,SNOW,4,-20.0,noisy,,-7.867813110351562e-05
F200503_SNOW4_-10,F200503,SNOW,4,-10.0,noisy,,-0.00026702880859375
F200503_SNOW4_-5,F200503,SNOW,4,-5.0,noisy,,-0.0004458427429199219
F200503_SNOW4_0,F200503,SNOW,4,0.0,noisy,,-0.0008185914339264855
F200503_SNOW4_5,F200503,SNOW,4,5.0,noisy,,-0.0016665458679199219
F200503_SNOW4_10,F200503,SNOW,4,10.0,noisy,,-0.0026816129684448242
F200503_SNOW4_20,F200503,SNOW,4,20.0,noisy,,-0.009458065032958984
